A 	 100 	 Algorithm1 	0.002088	
A 	 100 	 Algorithm1 	0.002088	
A 	 100 	 Algorithm1 	0.002086	
A 	 100 	 Algorithm1 	0.002049	
A 	 100 	 Algorithm1 	0.002051	
A 	 100 	 Algorithm1 	0.002086	
A 	 100 	 Algorithm1 	0.002084	
A 	 100 	 Algorithm1 	0.002052	
A 	 100 	 Algorithm1 	0.002050	
A 	 100 	 Algorithm1 	0.002091	
A 	 100 	 Algorithm2 	0.009455	
A 	 100 	 Algorithm2 	0.009406	
A 	 100 	 Algorithm2 	0.009400	
A 	 100 	 Algorithm2 	0.009372	
A 	 100 	 Algorithm2 	0.009459	
A 	 100 	 Algorithm2 	0.009393	
A 	 100 	 Algorithm2 	0.009442	
A 	 100 	 Algorithm2 	0.009441	
A 	 100 	 Algorithm2 	0.009438	
A 	 100 	 Algorithm2 	0.009603	
A 	 100 	 Algorithm3 	0.003351	
A 	 100 	 Algorithm3 	0.003376	
A 	 100 	 Algorithm3 	0.003362	
A 	 100 	 Algorithm3 	0.003326	
A 	 100 	 Algorithm3 	0.003363	
A 	 100 	 Algorithm3 	0.003372	
A 	 100 	 Algorithm3 	0.003529	
A 	 100 	 Algorithm3 	0.003585	
A 	 100 	 Algorithm3 	0.003565	
A 	 100 	 Algorithm3 	0.003659	
A 	 200 	 Algorithm1 	0.017491	
A 	 200 	 Algorithm1 	0.016799	
A 	 200 	 Algorithm1 	0.016713	
A 	 200 	 Algorithm1 	0.016442	
A 	 200 	 Algorithm1 	0.016399	
A 	 200 	 Algorithm1 	0.016460	
A 	 200 	 Algorithm1 	0.016808	
A 	 200 	 Algorithm1 	0.016393	
A 	 200 	 Algorithm1 	0.016383	
A 	 200 	 Algorithm1 	0.016390	
A 	 200 	 Algorithm2 	0.079624	
A 	 200 	 Algorithm2 	0.079204	
A 	 200 	 Algorithm2 	0.079430	
A 	 200 	 Algorithm2 	0.079752	
A 	 200 	 Algorithm2 	0.079242	
A 	 200 	 Algorithm2 	0.079088	
A 	 200 	 Algorithm2 	0.079827	
A 	 200 	 Algorithm2 	0.079341	
A 	 200 	 Algorithm2 	0.079321	
A 	 200 	 Algorithm2 	0.080192	
A 	 200 	 Algorithm3 	0.030514	
A 	 200 	 Algorithm3 	0.030110	
A 	 200 	 Algorithm3 	0.030117	
A 	 200 	 Algorithm3 	0.030125	
A 	 200 	 Algorithm3 	0.030105	
A 	 200 	 Algorithm3 	0.029831	
A 	 200 	 Algorithm3 	0.029631	
A 	 200 	 Algorithm3 	0.030280	
A 	 200 	 Algorithm3 	0.030303	
A 	 200 	 Algorithm3 	0.030086	
A 	 400 	 Algorithm1 	0.133862	
A 	 400 	 Algorithm1 	0.133590	
A 	 400 	 Algorithm1 	0.132068	
A 	 400 	 Algorithm1 	0.138082	
A 	 400 	 Algorithm1 	0.135742	
A 	 400 	 Algorithm1 	0.131247	
A 	 400 	 Algorithm1 	0.137784	
A 	 400 	 Algorithm1 	0.133019	
A 	 400 	 Algorithm1 	0.133745	
A 	 400 	 Algorithm1 	0.131017	
A 	 400 	 Algorithm2 	0.701383	
A 	 400 	 Algorithm2 	0.698763	
A 	 400 	 Algorithm2 	0.692033	
A 	 400 	 Algorithm2 	0.708794	
A 	 400 	 Algorithm2 	0.704493	
A 	 400 	 Algorithm2 	0.720824	
A 	 400 	 Algorithm2 	0.699372	
A 	 400 	 Algorithm2 	0.715003	
A 	 400 	 Algorithm2 	0.718734	
A 	 400 	 Algorithm2 	0.726866	
A 	 400 	 Algorithm3 	0.267418	
A 	 400 	 Algorithm3 	0.279968	
A 	 400 	 Algorithm3 	0.261344	
A 	 400 	 Algorithm3 	0.274439	
A 	 400 	 Algorithm3 	0.378683	
A 	 400 	 Algorithm3 	0.262582	
A 	 400 	 Algorithm3 	0.272512	
A 	 400 	 Algorithm3 	0.269085	
A 	 400 	 Algorithm3 	0.277830	
A 	 400 	 Algorithm3 	0.279495	
A 	 600 	 Algorithm1 	0.444051	
A 	 600 	 Algorithm1 	0.452982	
A 	 600 	 Algorithm1 	0.457069	
A 	 600 	 Algorithm1 	0.451452	
A 	 600 	 Algorithm1 	0.449531	
A 	 600 	 Algorithm1 	0.451718	
A 	 600 	 Algorithm1 	0.448443	
A 	 600 	 Algorithm1 	0.448701	
A 	 600 	 Algorithm1 	0.458093	
A 	 600 	 Algorithm1 	0.446166	
A 	 600 	 Algorithm2 	2.420259	
A 	 600 	 Algorithm2 	2.428321	
A 	 600 	 Algorithm2 	2.404945	
A 	 600 	 Algorithm2 	2.411660	
A 	 600 	 Algorithm2 	2.407425	
A 	 600 	 Algorithm2 	2.421336	
A 	 600 	 Algorithm2 	2.809624	
A 	 600 	 Algorithm2 	2.796442	
A 	 600 	 Algorithm2 	2.695204	
A 	 600 	 Algorithm2 	2.447861	
A 	 600 	 Algorithm3 	0.940815	
A 	 600 	 Algorithm3 	0.941720	
A 	 600 	 Algorithm3 	0.951279	
A 	 600 	 Algorithm3 	0.969532	
A 	 600 	 Algorithm3 	0.956175	
A 	 600 	 Algorithm3 	0.956807	
A 	 600 	 Algorithm3 	0.971735	
A 	 600 	 Algorithm3 	0.941550	
A 	 600 	 Algorithm3 	0.955075	
A 	 600 	 Algorithm3 	1.039706	
A 	 800 	 Algorithm1 	1.050487	
A 	 800 	 Algorithm1 	1.068372	
A 	 800 	 Algorithm1 	1.066400	
A 	 800 	 Algorithm1 	1.054061	
A 	 800 	 Algorithm1 	1.077677	
A 	 800 	 Algorithm1 	1.074339	
A 	 800 	 Algorithm1 	1.073623	
A 	 800 	 Algorithm1 	1.092217	
A 	 800 	 Algorithm1 	1.064789	
A 	 800 	 Algorithm1 	1.056378	
A 	 800 	 Algorithm2 	5.894201	
A 	 800 	 Algorithm2 	5.930113	
A 	 800 	 Algorithm2 	5.992531	
A 	 800 	 Algorithm2 	5.923522	
A 	 800 	 Algorithm2 	5.892720	
A 	 800 	 Algorithm2 	5.925850	
A 	 800 	 Algorithm2 	5.954106	
A 	 800 	 Algorithm2 	5.970093	
A 	 800 	 Algorithm2 	5.932987	
A 	 800 	 Algorithm2 	5.929486	
A 	 800 	 Algorithm3 	2.354759	
A 	 800 	 Algorithm3 	2.401913	
A 	 800 	 Algorithm3 	2.390381	
A 	 800 	 Algorithm3 	2.340304	
A 	 800 	 Algorithm3 	2.348235	
