Node,Load,Algorithm,Time
B,100,Algorithm1,0.002775
B,100,Algorithm1,0.002777
B,100,Algorithm1,0.002774
B,100,Algorithm1,0.002771
B,100,Algorithm1,0.002771
B,100,Algorithm1,0.002774
B,100,Algorithm1,0.002772
B,100,Algorithm1,0.002779
B,100,Algorithm1,0.002774
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00277
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00276
B,100,Algorithm1,0.00276
B,100,Algorithm2,0.012625
B,100,Algorithm2,0.012651
B,100,Algorithm2,0.010795
B,100,Algorithm2,0.01013
B,100,Algorithm2,0.010125
B,100,Algorithm2,0.01009
B,100,Algorithm2,0.010159
B,100,Algorithm2,0.0101
B,100,Algorithm2,0.010025
B,100,Algorithm2,0.00998
B,100,Algorithm2,0.01188
B,100,Algorithm2,0.01249
B,100,Algorithm2,0.01087
B,100,Algorithm2,0.01157
B,100,Algorithm2,0.01234
B,100,Algorithm2,0.01258
B,100,Algorithm2,0.01131
B,100,Algorithm2,0.01094
B,100,Algorithm2,0.01035
B,100,Algorithm2,0.0109
B,100,Algorithm2,0.01144
B,100,Algorithm2,0.01079
B,100,Algorithm2,0.01177
B,100,Algorithm2,0.01092
B,100,Algorithm2,0.01151
B,100,Algorithm2,0.01262
B,100,Algorithm2,0.01152
B,100,Algorithm2,0.0115
B,100,Algorithm2,0.01
B,100,Algorithm2,0.01105
B,100,Algorithm3,0.003814
B,100,Algorithm3,0.003942
B,100,Algorithm3,0.004024
B,100,Algorithm3,0.003626
B,100,Algorithm3,0.003571
B,100,Algorithm3,0.003581
B,100,Algorithm3,0.003602
B,100,Algorithm3,0.003609
B,100,Algorithm3,0.003606
B,100,Algorithm3,0.003606
B,100,Algorithm3,0.00396
B,100,Algorithm3,0.00398
B,100,Algorithm3,0.00364
B,100,Algorithm3,0.00369
B,100,Algorithm3,0.00401
B,100,Algorithm3,0.00365
B,100,Algorithm3,0.0037
B,100,Algorithm3,0.00358
B,100,Algorithm3,0.00368
B,100,Algorithm3,0.00391
B,100,Algorithm3,0.00384
B,100,Algorithm3,0.00398
B,100,Algorithm3,0.00396
B,100,Algorithm3,0.00377
B,100,Algorithm3,0.00377
B,100,Algorithm3,0.00381
B,100,Algorithm3,0.00376
B,100,Algorithm3,0.00378
B,100,Algorithm3,0.00372
B,100,Algorithm3,0.00378
B,200,Algorithm1,0.017523
B,200,Algorithm1,0.017499
B,200,Algorithm1,0.017539
B,200,Algorithm1,0.017614
B,200,Algorithm1,0.017458
B,200,Algorithm1,0.017425
B,200,Algorithm1,0.017572
B,200,Algorithm1,0.017871
B,200,Algorithm1,0.017451
B,200,Algorithm1,0.017502
B,200,Algorithm1,0.01743
B,200,Algorithm1,0.01772
B,200,Algorithm1,0.01755
B,200,Algorithm1,0.01767
B,200,Algorithm1,0.01742
B,200,Algorithm1,0.01762
B,200,Algorithm1,0.0177
B,200,Algorithm1,0.01785
B,200,Algorithm1,0.01754
B,200,Algorithm1,0.0177
B,200,Algorithm1,0.01781
B,200,Algorithm1,0.01755
B,200,Algorithm1,0.01758
B,200,Algorithm1,0.01786
B,200,Algorithm1,0.01768
B,200,Algorithm1,0.01774
B,200,Algorithm1,0.01777
B,200,Algorithm1,0.01747
B,200,Algorithm1,0.01772
B,200,Algorithm1,0.01746
B,200,Algorithm2,0.086075
B,200,Algorithm2,0.085376
B,200,Algorithm2,0.085582
B,200,Algorithm2,0.084577
B,200,Algorithm2,0.083856
B,200,Algorithm2,0.085785
B,200,Algorithm2,0.084674
B,200,Algorithm2,0.084257
B,200,Algorithm2,0.085902
B,200,Algorithm2,0.084193
B,200,Algorithm2,0.0845
B,200,Algorithm2,0.08562
B,200,Algorithm2,0.08417
B,200,Algorithm2,0.08398
B,200,Algorithm2,0.08441
B,200,Algorithm2,0.08426
B,200,Algorithm2,0.08452
B,200,Algorithm2,0.08572
B,200,Algorithm2,0.0855
B,200,Algorithm2,0.08557
B,200,Algorithm2,0.08417
B,200,Algorithm2,0.0859
B,200,Algorithm2,0.08426
B,200,Algorithm2,0.08558
B,200,Algorithm2,0.08395
B,200,Algorithm2,0.08546
B,200,Algorithm2,0.08431
B,200,Algorithm2,0.08432
B,200,Algorithm2,0.08568
B,200,Algorithm2,0.08399
B,200,Algorithm3,0.032075
B,200,Algorithm3,0.032253
B,200,Algorithm3,0.031975
B,200,Algorithm3,0.032401
B,200,Algorithm3,0.041164
B,200,Algorithm3,0.032089
B,200,Algorithm3,0.032109
B,200,Algorithm3,0.031775
B,200,Algorithm3,0.034389
B,200,Algorithm3,0.032083
B,200,Algorithm3,0.03994
B,200,Algorithm3,0.03224
B,200,Algorithm3,0.03473
B,200,Algorithm3,0.03805
B,200,Algorithm3,0.03913
B,200,Algorithm3,0.03565
B,200,Algorithm3,0.0367
B,200,Algorithm3,0.0368
B,200,Algorithm3,0.03443
B,200,Algorithm3,0.03663
B,200,Algorithm3,0.03928
B,200,Algorithm3,0.03749
B,200,Algorithm3,0.03627
B,200,Algorithm3,0.03845
B,200,Algorithm3,0.03485
B,200,Algorithm3,0.03734
B,200,Algorithm3,0.03608
B,200,Algorithm3,0.03742
B,200,Algorithm3,0.03827
B,200,Algorithm3,0.03721
B,400,Algorithm1,0.142035
B,400,Algorithm1,0.147939
B,400,Algorithm1,0.14417
B,400,Algorithm1,0.140464
B,400,Algorithm1,0.143576
B,400,Algorithm1,0.142141
B,400,Algorithm1,0.144105
B,400,Algorithm1,0.145311
B,400,Algorithm1,0.13874
B,400,Algorithm1,0.139558
B,400,Algorithm1,0.14401
B,400,Algorithm1,0.13928
B,400,Algorithm1,0.14613
B,400,Algorithm1,0.14218
B,400,Algorithm1,0.14601
B,400,Algorithm1,0.13931
B,400,Algorithm1,0.13878
B,400,Algorithm1,0.14132
B,400,Algorithm1,0.14733
B,400,Algorithm1,0.13974
B,400,Algorithm1,0.14106
B,400,Algorithm1,0.14079
B,400,Algorithm1,0.14357
B,400,Algorithm1,0.14121
B,400,Algorithm1,0.13897
B,400,Algorithm1,0.13893
B,400,Algorithm1,0.14727
B,400,Algorithm1,0.13914
B,400,Algorithm1,0.14611
B,400,Algorithm1,0.14243
B,400,Algorithm2,0.736662
B,400,Algorithm2,0.733791
B,400,Algorithm2,0.729971
B,400,Algorithm2,0.748623
B,400,Algorithm2,0.772697
B,400,Algorithm2,0.767612
B,400,Algorithm2,0.742672
B,400,Algorithm2,0.750649
B,400,Algorithm2,0.745294
B,400,Algorithm2,0.81845
B,400,Algorithm2,0.77611
B,400,Algorithm2,0.78335
B,400,Algorithm2,0.74635
B,400,Algorithm2,0.80821
B,400,Algorithm2,0.80855
B,400,Algorithm2,0.74155
B,400,Algorithm2,0.73795
B,400,Algorithm2,0.74751
B,400,Algorithm2,0.73413
B,400,Algorithm2,0.78598
B,400,Algorithm2,0.77566
B,400,Algorithm2,0.76927
B,400,Algorithm2,0.76383
B,400,Algorithm2,0.74322
B,400,Algorithm2,0.8107
B,400,Algorithm2,0.76523
B,400,Algorithm2,0.7744
B,400,Algorithm2,0.77425
B,400,Algorithm2,0.78755
B,400,Algorithm2,0.78766
B,400,Algorithm3,0.27879
B,400,Algorithm3,0.278563
B,400,Algorithm3,0.280341
B,400,Algorithm3,0.312004
B,400,Algorithm3,0.282049
B,400,Algorithm3,0.277551
B,400,Algorithm3,0.301896
B,400,Algorithm3,0.364959
B,400,Algorithm3,0.316178
B,400,Algorithm3,0.29801
B,400,Algorithm3,0.28952
B,400,Algorithm3,0.35031
B,400,Algorithm3,0.32222
B,400,Algorithm3,0.34824
B,400,Algorithm3,0.29325
