Node,Load,Algorithm,Time
C,100,Algorithm1,0.00973
C,100,Algorithm1,0.010584
C,100,Algorithm1,0.01023
C,100,Algorithm1,0.005191
C,100,Algorithm1,0.007437
C,100,Algorithm1,0.007506
C,100,Algorithm1,0.007532
C,100,Algorithm1,0.005011
C,100,Algorithm1,0.007461
C,100,Algorithm1,0.005046
C,100,Algorithm1,0.01048
C,100,Algorithm1,0.00503
C,100,Algorithm1,0.00502
C,100,Algorithm1,0.00686
C,100,Algorithm1,0.0103
C,100,Algorithm1,0.00843
C,100,Algorithm1,0.00677
C,100,Algorithm1,0.00637
C,100,Algorithm1,0.00582
C,100,Algorithm1,0.00537
C,100,Algorithm1,0.0088
C,100,Algorithm1,0.00903
C,100,Algorithm1,0.0073
C,100,Algorithm1,0.00837
C,100,Algorithm1,0.01034
C,100,Algorithm1,0.01007
C,100,Algorithm1,0.00996
C,100,Algorithm1,0.00862
C,100,Algorithm1,0.00586
C,100,Algorithm1,0.01007
C,100,Algorithm2,0.028076
C,100,Algorithm2,0.021585
C,100,Algorithm2,0.024512
C,100,Algorithm2,0.019509
C,100,Algorithm2,0.024236
C,100,Algorithm2,0.022541
C,100,Algorithm2,0.021787
C,100,Algorithm2,0.023074
C,100,Algorithm2,0.021647
C,100,Algorithm2,0.024238
C,100,Algorithm2,0.02697
C,100,Algorithm2,0.02486
C,100,Algorithm2,0.0201
C,100,Algorithm2,0.0212
C,100,Algorithm2,0.02579
C,100,Algorithm2,0.02605
C,100,Algorithm2,0.02797
C,100,Algorithm2,0.02065
C,100,Algorithm2,0.02225
C,100,Algorithm2,0.02589
C,100,Algorithm2,0.02367
C,100,Algorithm2,0.02581
C,100,Algorithm2,0.02168
C,100,Algorithm2,0.02078
C,100,Algorithm2,0.02291
C,100,Algorithm2,0.02717
C,100,Algorithm2,0.02088
C,100,Algorithm2,0.02645
C,100,Algorithm2,0.02379
C,100,Algorithm2,0.02068
C,100,Algorithm3,0.006998
C,100,Algorithm3,0.006872
C,100,Algorithm3,0.006894
C,100,Algorithm3,0.006855
C,100,Algorithm3,0.006934
C,100,Algorithm3,0.006895
C,100,Algorithm3,0.007152
C,100,Algorithm3,0.009683
C,100,Algorithm3,0.006797
C,100,Algorithm3,0.01026
C,100,Algorithm3,0.00759
C,100,Algorithm3,0.00798
C,100,Algorithm3,0.00916
C,100,Algorithm3,0.00766
C,100,Algorithm3,0.00798
C,100,Algorithm3,0.00735
C,100,Algorithm3,0.0091
C,100,Algorithm3,0.00881
C,100,Algorithm3,0.00839
C,100,Algorithm3,0.00989
C,100,Algorithm3,0.01012
C,100,Algorithm3,0.00952
C,100,Algorithm3,0.00877
C,100,Algorithm3,0.00869
C,100,Algorithm3,0.00712
C,100,Algorithm3,0.00705
C,100,Algorithm3,0.0089
C,100,Algorithm3,0.00893
C,100,Algorithm3,0.008
C,100,Algorithm3,0.00732
C,200,Algorithm1,0.043144
C,200,Algorithm1,0.044462
C,200,Algorithm1,0.03994
C,200,Algorithm1,0.042202
C,200,Algorithm1,0.043893
C,200,Algorithm1,0.043926
C,200,Algorithm1,0.043978
C,200,Algorithm1,0.039927
C,200,Algorithm1,0.043412
C,200,Algorithm1,0.048732
C,200,Algorithm1,0.04056
C,200,Algorithm1,0.0483
C,200,Algorithm1,0.04177
C,200,Algorithm1,0.04723
C,200,Algorithm1,0.04574
C,200,Algorithm1,0.04258
C,200,Algorithm1,0.04456
C,200,Algorithm1,0.04494
C,200,Algorithm1,0.04013
C,200,Algorithm1,0.04512
C,200,Algorithm1,0.04186
C,200,Algorithm1,0.04595
C,200,Algorithm1,0.0412
C,200,Algorithm1,0.04593
C,200,Algorithm1,0.04038
C,200,Algorithm1,0.04222
C,200,Algorithm1,0.04129
C,200,Algorithm1,0.04318
C,200,Algorithm1,0.04539
C,200,Algorithm1,0.04394
C,200,Algorithm2,0.160451
C,200,Algorithm2,0.149707
C,200,Algorithm2,0.166634
C,200,Algorithm2,0.156347
C,200,Algorithm2,0.173155
C,200,Algorithm2,0.167408
C,200,Algorithm2,0.152854
C,200,Algorithm2,0.167274
C,200,Algorithm2,0.154804
C,200,Algorithm2,0.156986
C,200,Algorithm2,0.15089
C,200,Algorithm2,0.17119
C,200,Algorithm2,0.17119
C,200,Algorithm2,0.15648
C,200,Algorithm2,0.15262
C,200,Algorithm2,0.15374
C,200,Algorithm2,0.15192
C,200,Algorithm2,0.16003
C,200,Algorithm2,0.16575
C,200,Algorithm2,0.16951
C,200,Algorithm2,0.16965
C,200,Algorithm2,0.15342
C,200,Algorithm2,0.16422
C,200,Algorithm2,0.15995
C,200,Algorithm2,0.15839
C,200,Algorithm2,0.16737
C,200,Algorithm2,0.15293
C,200,Algorithm2,0.15463
C,200,Algorithm2,0.16364
C,200,Algorithm2,0.16611
C,200,Algorithm3,0.074178
C,200,Algorithm3,0.07512
C,200,Algorithm3,0.072178
C,200,Algorithm3,0.064856
C,200,Algorithm3,0.070102
C,200,Algorithm3,0.068993
C,200,Algorithm3,0.070127
C,200,Algorithm3,0.070562
C,200,Algorithm3,0.07104
C,200,Algorithm3,0.071625
C,200,Algorithm3,0.07155
C,200,Algorithm3,0.06918
C,200,Algorithm3,0.06858
C,200,Algorithm3,0.0744
C,200,Algorithm3,0.07034
C,200,Algorithm3,0.06571
C,200,Algorithm3,0.07201
C,200,Algorithm3,0.07222
C,200,Algorithm3,0.06608
C,200,Algorithm3,0.07227
C,200,Algorithm3,0.07218
C,200,Algorithm3,0.0651
C,200,Algorithm3,0.07227
C,200,Algorithm3,0.07242
C,200,Algorithm3,0.07353
C,200,Algorithm3,0.06507
C,200,Algorithm3,0.0698
C,200,Algorithm3,0.07078
C,200,Algorithm3,0.07255
C,200,Algorithm3,0.07222
C,400,Algorithm1,0.32563
C,400,Algorithm1,0.331757
C,400,Algorithm1,0.325958
C,400,Algorithm1,0.316672
C,400,Algorithm1,0.332791
C,400,Algorithm1,0.31325
C,400,Algorithm1,0.335854
C,400,Algorithm1,0.315023
C,400,Algorithm1,0.315037
C,400,Algorithm1,0.318051
C,400,Algorithm1,0.32471
C,400,Algorithm1,0.31633
C,400,Algorithm1,0.31349
C,400,Algorithm1,0.32319
C,400,Algorithm1,0.32205
C,400,Algorithm1,0.32119
C,400,Algorithm1,0.32398
C,400,Algorithm1,0.31784
C,400,Algorithm1,0.33031
C,400,Algorithm1,0.32495
C,400,Algorithm1,0.31528
C,400,Algorithm1,0.32534
C,400,Algorithm1,0.33534
C,400,Algorithm1,0.32751
C,400,Algorithm1,0.33475
C,400,Algorithm1,0.32681
C,400,Algorithm1,0.32784
C,400,Algorithm1,0.31862
C,400,Algorithm1,0.33198
C,400,Algorithm1,0.3315
C,400,Algorithm2,2.184989
C,400,Algorithm2,2.170799
C,400,Algorithm2,2.159743
C,400,Algorithm2,2.18533
C,400,Algorithm2,2.021976
C,400,Algorithm2,2.076648
C,400,Algorithm2,2.088021
C,400,Algorithm2,2.087375
C,400,Algorithm2,2.079498
C,400,Algorithm2,2.164687
C,400,Algorithm2,2.12841
C,400,Algorithm2,2.07875
C,400,Algorithm2,2.07395
C,400,Algorithm2,2.14629
C,400,Algorithm2,2.10442
C,400,Algorithm2,2.11186
C,400,Algorithm2,2.08532
C,400,Algorithm2,2.04095
C,400,Algorithm2,2.11453
C,400,Algorithm2,2.10866
C,400,Algorithm2,2.16976
C,400,Algorithm2,2.16051
C,400,Algorithm2,2.09682
C,400,Algorithm2,2.0638
C,400,Algorithm2,2.1765
C,400,Algorithm2,2.12578
C,400,Algorithm2,2.05483
C,400,Algorithm2,2.14473
C,400,Algorithm2,2.162
C,400,Algorithm2,2.05552
C,400,Algorithm3,1.335606
C,400,Algorithm3,1.353826
C,400,Algorithm3,1.374794
C,400,Algorithm3,1.320519
C,400,Algorithm3,1.350531
C,400,Algorithm3,1.269048
C,400,Algorithm3,1.364203
C,400,Algorithm3,1.258167
C,400,Algorithm3,1.329477
C,400,Algorithm3,1.410177
C,400,Algorithm3,1.36298
C,400,Algorithm3,1.34377
C,400,Algorithm3,1.35073
C,400,Algorithm3,1.31796
C,400,Algorithm3,1.27586
C,400,Algorithm3,1.26399
C,400,Algorithm3,1.29748
C,400,Algorithm3,1.33986
C,400,Algorithm3,1.33263
C,400,Algorithm3,1.29235
C,400,Algorithm3,1.39871
C,400,Algorithm3,1.29687
C,400,Algorithm3,1.39417
C,400,Algorithm3,1.37944
C,400,Algorithm3,1.34984
C,400,Algorithm3,1.40985
C,400,Algorithm3,1.30999
C,400,Algorithm3,1.37252
C,400,Algorithm3,1.31854
C,400,Algorithm3,1.37634
C,600,Algorithm1,1.073764
C,600,Algorithm1,1.084364
C,600,Algorithm1,1.052449
C,600,Algorithm1,1.065201
C,600,Algorithm1,1.058372
C,600,Algorithm1,1.067912
C,600,Algorithm1,1.057471
C,600,Algorithm1,1.083236
C,600,Algorithm1,1.074902
C,600,Algorithm1,1.048809
C,600,Algorithm1,1.05933
C,600,Algorithm1,1.07362
C,600,Algorithm1,1.05717
C,600,Algorithm1,1.06286
C,600,Algorithm1,1.06187
C,600,Algorithm1,1.07619
C,600,Algorithm1,1.05602
C,600,Algorithm1,1.04979
C,600,Algorithm1,1.07577
C,600,Algorithm1,1.06871
C,600,Algorithm1,1.07782
C,600,Algorithm1,1.0599
C,600,Algorithm1,1.05227
C,600,Algorithm1,1.08128
C,600,Algorithm1,1.06558
C,600,Algorithm1,1.0532
C,600,Algorithm1,1.07984
C,600,Algorithm1,1.07071
C,600,Algorithm1,1.06033
C,600,Algorithm1,1.05367
C,600,Algorithm2,8.761693
C,600,Algorithm2,7.607685
C,600,Algorithm2,7.732096
C,600,Algorithm2,7.984153
C,600,Algorithm2,8.140487
C,600,Algorithm2,8.326759
C,600,Algorithm2,8.446476
C,600,Algorithm2,8.507347
C,600,Algorithm2,8.497704
C,600,Algorithm2,8.356256
C,600,Algorithm2,8.60781
C,600,Algorithm2,7.97723
C,600,Algorithm2,8.14474
C,600,Algorithm2,7.76228
C,600,Algorithm2,8.22105
C,600,Algorithm2,7.931
C,600,Algorithm2,7.76185
C,600,Algorithm2,8.03701
C,600,Algorithm2,7.82202
C,600,Algorithm2,7.6294
C,600,Algorithm2,7.65389
C,600,Algorithm2,8.35713
C,600,Algorithm2,8.30539
C,600,Algorithm2,7.82532
C,600,Algorithm2,8.14222
C,600,Algorithm2,8.33649
C,600,Algorithm2,8.36724
C,600,Algorithm2,8.30376
C,600,Algorithm2,8.05325
C,600,Algorithm2,8.11494
C,600,Algorithm3,5.365716
C,600,Algorithm3,5.379528
C,600,Algorithm3,5.349287
C,600,Algorithm3,5.337202
C,600,Algorithm3,5.331754
C,600,Algorithm3,5.335393
C,600,Algorithm3,5.327657
C,600,Algorithm3,5.387427
C,600,Algorithm3,6.324101
C,600,Algorithm3,5.297127
C,600,Algorithm3,5.62978
C,600,Algorithm3,6.03391
C,600,Algorithm3,5.67501
C,600,Algorithm3,6.09678
C,600,Algorithm3,5.4695
C,600,Algorithm3,6.3038
C,600,Algorithm3,6.13507
