Node,Load,Algorithm,Time
G,100,Algorithm1,0.003555
G,100,Algorithm1,0.003642
G,100,Algorithm1,0.003659
G,100,Algorithm1,0.003679
G,100,Algorithm1,0.003613
G,100,Algorithm1,0.003664
G,100,Algorithm1,0.003598
G,100,Algorithm1,0.003647
G,100,Algorithm1,0.003645
G,100,Algorithm1,0.003693
G,100,Algorithm1,0.00361
G,100,Algorithm1,0.00363
G,100,Algorithm1,0.00359
G,100,Algorithm1,0.00365
G,100,Algorithm1,0.00364
G,100,Algorithm1,0.00357
G,100,Algorithm1,0.00362
G,100,Algorithm1,0.00365
G,100,Algorithm1,0.00364
G,100,Algorithm1,0.00357
G,100,Algorithm1,0.00357
G,100,Algorithm1,0.00368
G,100,Algorithm1,0.00366
G,100,Algorithm1,0.00357
G,100,Algorithm1,0.0036
G,100,Algorithm1,0.00363
G,100,Algorithm1,0.00365
G,100,Algorithm1,0.00356
G,100,Algorithm1,0.00357
G,100,Algorithm1,0.00359
G,100,Algorithm2,0.010681
G,100,Algorithm2,0.010543
G,100,Algorithm2,0.010722
G,100,Algorithm2,0.010832
G,100,Algorithm2,0.011088
G,100,Algorithm2,0.010515
G,100,Algorithm2,0.010607
G,100,Algorithm2,0.010735
G,100,Algorithm2,0.011038
G,100,Algorithm2,0.01089
G,100,Algorithm2,0.01068
G,100,Algorithm2,0.01105
G,100,Algorithm2,0.01056
G,100,Algorithm2,0.01069
G,100,Algorithm2,0.01103
G,100,Algorithm2,0.01098
G,100,Algorithm2,0.0107
G,100,Algorithm2,0.01061
G,100,Algorithm2,0.01085
G,100,Algorithm2,0.01073
G,100,Algorithm2,0.01062
G,100,Algorithm2,0.01089
G,100,Algorithm2,0.01093
G,100,Algorithm2,0.011
G,100,Algorithm2,0.01091
G,100,Algorithm2,0.01098
G,100,Algorithm2,0.01074
G,100,Algorithm2,0.01055
G,100,Algorithm2,0.01071
G,100,Algorithm2,0.01071
G,100,Algorithm3,0.005864
G,100,Algorithm3,0.00595
G,100,Algorithm3,0.006016
G,100,Algorithm3,0.005929
G,100,Algorithm3,0.005791
G,100,Algorithm3,0.005985
G,100,Algorithm3,0.005742
G,100,Algorithm3,0.005779
G,100,Algorithm3,0.005819
G,100,Algorithm3,0.005813
G,100,Algorithm3,0.00588
G,100,Algorithm3,0.006
G,100,Algorithm3,0.00596
G,100,Algorithm3,0.00584
G,100,Algorithm3,0.00581
G,100,Algorithm3,0.00591
G,100,Algorithm3,0.00594
G,100,Algorithm3,0.00598
G,100,Algorithm3,0.00586
G,100,Algorithm3,0.00577
G,100,Algorithm3,0.00593
G,100,Algorithm3,0.00575
G,100,Algorithm3,0.00577
G,100,Algorithm3,0.00593
G,100,Algorithm3,0.00585
G,100,Algorithm3,0.00581
G,100,Algorithm3,0.00587
G,100,Algorithm3,0.00589
G,100,Algorithm3,0.00584
G,100,Algorithm3,0.00583
G,200,Algorithm1,0.028681
G,200,Algorithm1,0.028904
G,200,Algorithm1,0.028937
G,200,Algorithm1,0.028811
G,200,Algorithm1,0.028633
G,200,Algorithm1,0.028593
G,200,Algorithm1,0.029419
G,200,Algorithm1,0.028633
G,200,Algorithm1,0.028633
G,200,Algorithm1,0.029238
G,200,Algorithm1,0.02871
G,200,Algorithm1,0.02891
G,200,Algorithm1,0.02898
G,200,Algorithm1,0.02927
G,200,Algorithm1,0.02866
G,200,Algorithm1,0.0293
G,200,Algorithm1,0.02905
G,200,Algorithm1,0.02903
G,200,Algorithm1,0.02938
G,200,Algorithm1,0.02882
G,200,Algorithm1,0.02873
G,200,Algorithm1,0.02886
G,200,Algorithm1,0.02921
G,200,Algorithm1,0.02863
G,200,Algorithm1,0.02897
G,200,Algorithm1,0.02866
G,200,Algorithm1,0.02891
G,200,Algorithm1,0.02903
G,200,Algorithm1,0.02884
G,200,Algorithm1,0.02902
G,200,Algorithm2,0.087265
G,200,Algorithm2,0.088654
G,200,Algorithm2,0.082173
G,200,Algorithm2,0.082133
G,200,Algorithm2,0.0815
G,200,Algorithm2,0.081807
G,200,Algorithm2,0.081707
G,200,Algorithm2,0.084535
G,200,Algorithm2,0.086246
G,200,Algorithm2,0.083984
G,200,Algorithm2,0.08467
G,200,Algorithm2,0.08438
G,200,Algorithm2,0.08626
G,200,Algorithm2,0.08558
G,200,Algorithm2,0.08526
G,200,Algorithm2,0.08769
G,200,Algorithm2,0.08736
G,200,Algorithm2,0.08327
G,200,Algorithm2,0.08347
G,200,Algorithm2,0.08567
G,200,Algorithm2,0.08773
G,200,Algorithm2,0.08679
G,200,Algorithm2,0.08601
G,200,Algorithm2,0.08774
G,200,Algorithm2,0.08516
G,200,Algorithm2,0.08415
G,200,Algorithm2,0.08745
G,200,Algorithm2,0.08583
G,200,Algorithm2,0.08323
G,200,Algorithm2,0.08507
G,200,Algorithm3,0.04713
G,200,Algorithm3,0.047268
G,200,Algorithm3,0.046697
G,200,Algorithm3,0.047058
G,200,Algorithm3,0.046493
G,200,Algorithm3,0.046046
G,200,Algorithm3,0.045395
G,200,Algorithm3,0.046774
G,200,Algorithm3,0.046553
G,200,Algorithm3,0.046741
G,200,Algorithm3,0.04621
G,200,Algorithm3,0.04679
G,200,Algorithm3,0.04573
G,200,Algorithm3,0.04725
G,200,Algorithm3,0.04673
G,200,Algorithm3,0.04586
G,200,Algorithm3,0.04646
G,200,Algorithm3,0.04577
G,200,Algorithm3,0.04633
G,200,Algorithm3,0.04709
G,200,Algorithm3,0.04691
G,200,Algorithm3,0.046
G,200,Algorithm3,0.04595
G,200,Algorithm3,0.04677
G,200,Algorithm3,0.04633
G,200,Algorithm3,0.04543
G,200,Algorithm3,0.04708
G,200,Algorithm3,0.04675
G,200,Algorithm3,0.04652
G,200,Algorithm3,0.04652
G,400,Algorithm1,0.228773
G,400,Algorithm1,0.234451
G,400,Algorithm1,0.228451
G,400,Algorithm1,0.232361
G,400,Algorithm1,0.228816
G,400,Algorithm1,0.236942
G,400,Algorithm1,0.229099
G,400,Algorithm1,0.229085
G,400,Algorithm1,0.228908
G,400,Algorithm1,0.229201
G,400,Algorithm1,0.23166
G,400,Algorithm1,0.22898
G,400,Algorithm1,0.23677
G,400,Algorithm1,0.23433
G,400,Algorithm1,0.23422
G,400,Algorithm1,0.23059
G,400,Algorithm1,0.23574
G,400,Algorithm1,0.23025
G,400,Algorithm1,0.23063
G,400,Algorithm1,0.23275
G,400,Algorithm1,0.2299
G,400,Algorithm1,0.22933
G,400,Algorithm1,0.23375
G,400,Algorithm1,0.23002
G,400,Algorithm1,0.23659
G,400,Algorithm1,0.23606
G,400,Algorithm1,0.23387
G,400,Algorithm1,0.23372
G,400,Algorithm1,0.2366
G,400,Algorithm1,0.22872
G,400,Algorithm2,0.67187
G,400,Algorithm2,0.679868
G,400,Algorithm2,0.683311
G,400,Algorithm2,0.712755
G,400,Algorithm2,0.725987
G,400,Algorithm2,0.707564
G,400,Algorithm2,0.737783
G,400,Algorithm2,0.772906
G,400,Algorithm2,0.693426
G,400,Algorithm2,0.739579
G,400,Algorithm2,0.70999
G,400,Algorithm2,0.69738
G,400,Algorithm2,0.71061
G,400,Algorithm2,0.75784
G,400,Algorithm2,0.68515
G,400,Algorithm2,0.73535
G,400,Algorithm2,0.67284
G,400,Algorithm2,0.70456
G,400,Algorithm2,0.70476
G,400,Algorithm2,0.69723
G,400,Algorithm2,0.72731
G,400,Algorithm2,0.73029
G,400,Algorithm2,0.71246
G,400,Algorithm2,0.74791
G,400,Algorithm2,0.72272
G,400,Algorithm2,0.71655
G,400,Algorithm2,0.69815
G,400,Algorithm2,0.69967
G,400,Algorithm2,0.7433
G,400,Algorithm2,0.70798
G,400,Algorithm3,0.357144
G,400,Algorithm3,0.358869
G,400,Algorithm3,0.358088
G,400,Algorithm3,0.358803
G,400,Algorithm3,0.361651
G,400,Algorithm3,0.365716
G,400,Algorithm3,0.367329
G,400,Algorithm3,0.372484
G,400,Algorithm3,0.359834
G,400,Algorithm3,0.363538
G,400,Algorithm3,0.37072
G,400,Algorithm3,0.36049
G,400,Algorithm3,0.36502
G,400,Algorithm3,0.36123
G,400,Algorithm3,0.36049
G,400,Algorithm3,0.36197
G,400,Algorithm3,0.36733
G,400,Algorithm3,0.36503
G,400,Algorithm3,0.36234
G,400,Algorithm3,0.37128
G,400,Algorithm3,0.36344
G,400,Algorithm3,0.36886
G,400,Algorithm3,0.36725
G,400,Algorithm3,0.3685
G,400,Algorithm3,0.36493
G,400,Algorithm3,0.36743
G,400,Algorithm3,0.36931
G,400,Algorithm3,0.36447
G,400,Algorithm3,0.36105
G,400,Algorithm3,0.36247
G,600,Algorithm1,0.775692
G,600,Algorithm1,0.771103
G,600,Algorithm1,0.778772
G,600,Algorithm1,0.771412
G,600,Algorithm1,0.77619
G,600,Algorithm1,0.772759
G,600,Algorithm1,0.772394
G,600,Algorithm1,0.77871
G,600,Algorithm1,0.774367
G,600,Algorithm1,0.772746
G,600,Algorithm1,0.77497
G,600,Algorithm1,0.7776
G,600,Algorithm1,0.77564
G,600,Algorithm1,0.77645
G,600,Algorithm1,0.77588
G,600,Algorithm1,0.77193
