Node,Load,Algorithm,Time
H,100,Algorithm1,0.004700
H,100,Algorithm1,0.004674
H,100,Algorithm1,0.004648
H,100,Algorithm1,0.004570
H,100,Algorithm1,0.004798
H,100,Algorithm1,0.004641
H,100,Algorithm1,0.004802
H,100,Algorithm1,0.004721
H,100,Algorithm1,0.004702
H,100,Algorithm1,0.004729
H,100,Algorithm2,0.026941
H,100,Algorithm2,0.026704
H,100,Algorithm2,0.026647
H,100,Algorithm2,0.026717
H,100,Algorithm2,0.026742
H,100,Algorithm2,0.026530
H,100,Algorithm2,0.026832
H,100,Algorithm2,0.027469
H,100,Algorithm2,0.026527
H,100,Algorithm2,0.026929
H,100,Algorithm3,0.007940
H,100,Algorithm3,0.007946
H,100,Algorithm3,0.008755
H,100,Algorithm3,0.008679
H,100,Algorithm3,0.008229
H,100,Algorithm3,0.008439
H,100,Algorithm3,0.008423
H,100,Algorithm3,0.008142
H,100,Algorithm3,0.008589
H,100,Algorithm3,0.008595
H,200,Algorithm1,0.036871
H,200,Algorithm1,0.037094
H,200,Algorithm1,0.037000
H,200,Algorithm1,0.036816
H,200,Algorithm1,0.036590
H,200,Algorithm1,0.036514
H,200,Algorithm1,0.036422
H,200,Algorithm1,0.036244
H,200,Algorithm1,0.036365
H,200,Algorithm1,0.036701
H,200,Algorithm2,0.215314
H,200,Algorithm2,0.218007
H,200,Algorithm2,0.213604
H,200,Algorithm2,0.214385
H,200,Algorithm2,0.213879
H,200,Algorithm2,0.213827
H,200,Algorithm2,0.213772
H,200,Algorithm2,0.212792
H,200,Algorithm2,0.213333
H,200,Algorithm2,0.216829
H,200,Algorithm3,0.062562
H,200,Algorithm3,0.065378
H,200,Algorithm3,0.063963
H,200,Algorithm3,0.065944
H,200,Algorithm3,0.069569
H,200,Algorithm3,0.065088
H,200,Algorithm3,0.063935
H,200,Algorithm3,0.064579
H,200,Algorithm3,0.063205
H,200,Algorithm3,0.063682
H,400,Algorithm1,0.292993
H,400,Algorithm1,0.289848
H,400,Algorithm1,0.292069
H,400,Algorithm1,0.293897
H,400,Algorithm1,0.290558
H,400,Algorithm1,0.292537
H,400,Algorithm1,0.290228
H,400,Algorithm1,0.293517
H,400,Algorithm1,0.291588
H,400,Algorithm1,0.290400
H,400,Algorithm2,1.735200
H,400,Algorithm2,1.700303
H,400,Algorithm2,1.707753
H,400,Algorithm2,1.745661
H,400,Algorithm2,1.715983
H,400,Algorithm2,1.692781
H,400,Algorithm2,1.715987
H,400,Algorithm2,1.741500
H,400,Algorithm2,1.745432
H,400,Algorithm2,1.700414
H,400,Algorithm3,0.519396
H,400,Algorithm3,0.510952
H,400,Algorithm3,0.531867
H,400,Algorithm3,0.560040
