Node,Load,Algorithm,Time
I,100,Algorithm1,0.003449
I,100,Algorithm1,0.00342
I,100,Algorithm1,0.003435
I,100,Algorithm1,0.003427
I,100,Algorithm1,0.003412
I,100,Algorithm1,0.003442
I,100,Algorithm1,0.003429
I,100,Algorithm1,0.003408
I,100,Algorithm1,0.003451
I,100,Algorithm1,0.003435
I,100,Algorithm1,0.00341
I,100,Algorithm1,0.00341
I,100,Algorithm1,0.00342
I,100,Algorithm1,0.00341
I,100,Algorithm1,0.00343
I,100,Algorithm1,0.00344
I,100,Algorithm1,0.00344
I,100,Algorithm1,0.00343
I,100,Algorithm1,0.00343
I,100,Algorithm1,0.00342
I,100,Algorithm1,0.00342
I,100,Algorithm1,0.00345
I,100,Algorithm1,0.00341
I,100,Algorithm1,0.00345
I,100,Algorithm1,0.00342
I,100,Algorithm1,0.00341
I,100,Algorithm1,0.00341
I,100,Algorithm1,0.00344
I,100,Algorithm1,0.00342
I,100,Algorithm1,0.00342
I,100,Algorithm2,0.017452
I,100,Algorithm2,0.017424
I,100,Algorithm2,0.017467
I,100,Algorithm2,0.017418
I,100,Algorithm2,0.017426
I,100,Algorithm2,0.017414
I,100,Algorithm2,0.017437
I,100,Algorithm2,0.017438
I,100,Algorithm2,0.017456
I,100,Algorithm2,0.01748
I,100,Algorithm2,0.01747
I,100,Algorithm2,0.01742
I,100,Algorithm2,0.01741
I,100,Algorithm2,0.01741
I,100,Algorithm2,0.01744
I,100,Algorithm2,0.01747
I,100,Algorithm2,0.01744
I,100,Algorithm2,0.01743
I,100,Algorithm2,0.01745
I,100,Algorithm2,0.01747
I,100,Algorithm2,0.01742
I,100,Algorithm2,0.01748
I,100,Algorithm2,0.01743
I,100,Algorithm2,0.01744
I,100,Algorithm2,0.01742
I,100,Algorithm2,0.01742
I,100,Algorithm2,0.01746
I,100,Algorithm2,0.01746
I,100,Algorithm2,0.01744
I,100,Algorithm2,0.01742
I,100,Algorithm3,0.005894
I,100,Algorithm3,0.005945
I,100,Algorithm3,0.005737
I,100,Algorithm3,0.005736
I,100,Algorithm3,0.005717
I,100,Algorithm3,0.005728
I,100,Algorithm3,0.005773
I,100,Algorithm3,0.005734
I,100,Algorithm3,0.005768
I,100,Algorithm3,0.005886
I,100,Algorithm3,0.00588
I,100,Algorithm3,0.00591
I,100,Algorithm3,0.00582
I,100,Algorithm3,0.00582
I,100,Algorithm3,0.00587
I,100,Algorithm3,0.00593
I,100,Algorithm3,0.00592
I,100,Algorithm3,0.00581
I,100,Algorithm3,0.0059
I,100,Algorithm3,0.0058
I,100,Algorithm3,0.00579
I,100,Algorithm3,0.00577
I,100,Algorithm3,0.00586
I,100,Algorithm3,0.0058
I,100,Algorithm3,0.00578
I,100,Algorithm3,0.00577
I,100,Algorithm3,0.00585
I,100,Algorithm3,0.00591
I,100,Algorithm3,0.00586
I,100,Algorithm3,0.00588
I,200,Algorithm1,0.027658
I,200,Algorithm1,0.027618
I,200,Algorithm1,0.027435
I,200,Algorithm1,0.027492
I,200,Algorithm1,0.027459
I,200,Algorithm1,0.027415
I,200,Algorithm1,0.027393
I,200,Algorithm1,0.027529
I,200,Algorithm1,0.027526
I,200,Algorithm1,0.027475
I,200,Algorithm1,0.02745
I,200,Algorithm1,0.02762
I,200,Algorithm1,0.02756
I,200,Algorithm1,0.02757
I,200,Algorithm1,0.02753
I,200,Algorithm1,0.0276
I,200,Algorithm1,0.02745
I,200,Algorithm1,0.02755
I,200,Algorithm1,0.0274
I,200,Algorithm1,0.02763
I,200,Algorithm1,0.02762
I,200,Algorithm1,0.02742
I,200,Algorithm1,0.02763
I,200,Algorithm1,0.02746
I,200,Algorithm1,0.02753
I,200,Algorithm1,0.0274
I,200,Algorithm1,0.02746
I,200,Algorithm1,0.02742
I,200,Algorithm1,0.02747
I,200,Algorithm1,0.02762
I,200,Algorithm2,0.151209
I,200,Algorithm2,0.150989
I,200,Algorithm2,0.150239
I,200,Algorithm2,0.151021
I,200,Algorithm2,0.149684
I,200,Algorithm2,0.149995
I,200,Algorithm2,0.149598
I,200,Algorithm2,0.149054
I,200,Algorithm2,0.149447
I,200,Algorithm2,0.151237
I,200,Algorithm2,0.15021
I,200,Algorithm2,0.15041
I,200,Algorithm2,0.15103
I,200,Algorithm2,0.1511
I,200,Algorithm2,0.15013
I,200,Algorithm2,0.15087
I,200,Algorithm2,0.14978
I,200,Algorithm2,0.15031
I,200,Algorithm2,0.14986
I,200,Algorithm2,0.1508
I,200,Algorithm2,0.14983
I,200,Algorithm2,0.15039
I,200,Algorithm2,0.15014
I,200,Algorithm2,0.14987
I,200,Algorithm2,0.15094
I,200,Algorithm2,0.15118
I,200,Algorithm2,0.14992
I,200,Algorithm2,0.14969
I,200,Algorithm2,0.14984
I,200,Algorithm2,0.15109
I,200,Algorithm3,0.062196
I,200,Algorithm3,0.060036
I,200,Algorithm3,0.058369
I,200,Algorithm3,0.058582
I,200,Algorithm3,0.059314
I,200,Algorithm3,0.058973
I,200,Algorithm3,0.057792
I,200,Algorithm3,0.059846
I,200,Algorithm3,0.060429
I,200,Algorithm3,0.059025
I,200,Algorithm3,0.06194
I,200,Algorithm3,0.05955
I,200,Algorithm3,0.06165
I,200,Algorithm3,0.05864
I,200,Algorithm3,0.05819
I,200,Algorithm3,0.06155
I,200,Algorithm3,0.0583
I,200,Algorithm3,0.05902
I,200,Algorithm3,0.0582
I,200,Algorithm3,0.06195
I,200,Algorithm3,0.06151
I,200,Algorithm3,0.05872
I,200,Algorithm3,0.0589
I,200,Algorithm3,0.06084
I,200,Algorithm3,0.06034
I,200,Algorithm3,0.05982
I,200,Algorithm3,0.06163
I,200,Algorithm3,0.0601
I,200,Algorithm3,0.05853
I,200,Algorithm3,0.06211
I,400,Algorithm1,0.231311
I,400,Algorithm1,0.230717
I,400,Algorithm1,0.231384
I,400,Algorithm1,0.230944
I,400,Algorithm1,0.230792
I,400,Algorithm1,0.231525
I,400,Algorithm1,0.230345
I,400,Algorithm1,0.231225
I,400,Algorithm1,0.231323
I,400,Algorithm1,0.230546
I,400,Algorithm1,0.23117
I,400,Algorithm1,0.23118
I,400,Algorithm1,0.23095
I,400,Algorithm1,0.23123
I,400,Algorithm1,0.23116
I,400,Algorithm1,0.23113
I,400,Algorithm1,0.23081
I,400,Algorithm1,0.23121
I,400,Algorithm1,0.23038
I,400,Algorithm1,0.23119
I,400,Algorithm1,0.23046
I,400,Algorithm1,0.2311
I,400,Algorithm1,0.2313
I,400,Algorithm1,0.23052
I,400,Algorithm1,0.23085
I,400,Algorithm1,0.23101
I,400,Algorithm1,0.23139
I,400,Algorithm1,0.23142
I,400,Algorithm1,0.23068
I,400,Algorithm1,0.23099
I,400,Algorithm2,1.36832
I,400,Algorithm2,1.320933
I,400,Algorithm2,1.358904
I,400,Algorithm2,1.367566
I,400,Algorithm2,1.322575
I,400,Algorithm2,1.332228
I,400,Algorithm2,1.320961
I,400,Algorithm2,1.317194
I,400,Algorithm2,1.388389
I,400,Algorithm2,1.431514
